ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to
TKT-2024-0028,High,Resolved,Network,VoIP Phone Not Working,Desk phone shows no dial tone,2024-02-18,2024-02-19,eve
TKT-2024-0029,Medium,Closed,Hardware,Mouse Cursor Jumping,Wireless mouse cursor moving erratically,2024-02-20,2024-02-21,david
TKT-2024-0030,Low,Resolved,Access,Distribution List Update,Add user to department email distribution list,2024-02-22,2024-02-22,eve
TKT-2024-0031,High,Investigating,Software,Application Crashing,CRM application crashes when generating reports,2024-02-23,,david
TKT-2024-0032,Critical,Open,Network,Network Switch Failure,Core network switch unresponsive,2024-02-24,,eve
TKT-2024-0033,Medium,In Progress,Hardware,Laptop Overheating,Laptop getting extremely hot during use,2024-02-25,,david
TKT-2024-0034,Low,Open,Software,Font Display Issues,Certain fonts not displaying correctly in documents,2024-02-26,,eve
TKT-2024-0035,High,Investigating,Database,Backup Job Failing,Nightly database backup job failing consistently,2024-02-27,,david
TKT-2024-0036,Medium,In Progress,Access,Two-Factor Authentication Setup,User needs help setting up 2FA for remote access,2024-02-28,,eve
TKT-2024-0037,Critical,Open,Network,DDoS Attack Suspected,Unusual network traffic patterns detected,2024-03-01,,david
TKT-2024-0038,High,Investigating,Hardware,SAN Storage Issues,Storage array showing performance degradation,2024-03-02,,eve
TKT-2024-0039,Medium,In Progress,Software,License Renewal Needed,Software license expiring next week,2024-03-03,,david
TKT-2024-0040,Low,Open,Access,Guest Wi-Fi Not Working,Visitors unable to connect to guest network,2024-03-04,,eve
TKT-2024-0041,High,Investigating,Network,DNS Resolution Slow,Websites loading very slowly due to DNS issues,2024-03-05,,david
TKT-2024-0042,Critical,Open,Database,Database Corruption Detected,Database integrity check found corruption,2024-03-06,,eve
TKT-2024-0043,Medium,In Progress,Hardware,Webcam Not Detected,Built-in webcam not showing up in device manager,2024-03-07,,david
TKT-2024-0044,Low,Open,Software,Spell Check Not Working,Word spell checker not highlighting errors,2024-03-08,,eve
TKT-2024-0045,High,Investigating,Network,Load Balancer Issues,Web application intermittently unavailable,2024-03-09,,david
TKT-2024-0046,Medium,In Progress,Access,Security Group Membership,User needs access to secure file repository,2024-03-10,,eve
TKT-2024-0047,Critical,Open,Hardware,Power Supply Failure,Server showing power supply failure alert,2024-03-11,,david
TKT-2024-0048,High,Investigating,Software,Data Export Error,Cannot export data from financial system,2024-03-12,,eve
TKT-2024-0049,Medium,In Progress,Network,SSL Certificate Expiring,Website SSL certificate expires in 7 days,2024-03-13,,david
TKT-2024-0050,Low,Open,Access,Shared Calendar Permissions,Need to grant calendar access to assistant,2024-03-14,,eve
